MARQUES,UNIVERS,CATEGORIES,SOUS-CATEGORIES,FILTRES,COULEURS,PAYS,MATIERES,ENTRETIEN,TAILLE,COUPE
Boris Bidjan Saberi x Salomon,,,Coussins,Pantalons de jogging,,Curaçao,Cuir d'agneau,,,
Boris Bidjan Saberi,,,Couvertures & Plaids,Débardeurs,,Danemark,Cuir d'agneau (doublure),,,
Both,,,Horloges,Polos,,Djibouti,Cuir d'âne,,,
By Walid,,,Miroirs,T-shirts manches courtes,,Dominique,Cuir d'antilope,,,
Casablanca,,,,,,,,,,
CA4LA,,,Plateaux & Tréteaux,T-shirts manches longues,,Ecosse,Cuir d'autruche,,,
Canada Goose,,,Porte-parapluies,Assiettes,,Égypte,Cuir de bélier,,,
Canada Goose x Y/Project,,,Porte-revues & Serre-livres,Bols,,Émirats Arabes Unis,Cuir de bison,,,
Canada Goose x Juun.J,,,Tapis,Carafes,,Équateur,Cuir de boeuf,,,
Carlo Moretti,,,Vases,Couverts,,Érythrée,Cuir de buffle,,,
Carol Christian Poell,,,Abat-jours,Dessous de verre,,Espagne,Cuir de buffle d'eau,,,
Carven,,,Lampadaires,Pots-pourris,,Estonie,Cuir de cerf,,,
Cedric Jacquemyn,,,Lampes de table,Cristaux,,Ethiopie,Cuir de chameau,,,
Chadwick,,,Luminaires muraux,Encens,,EU,Cuir de cheval,,,
Chenpeng,,,Suspensions,Pateaux ronds,,Fédération de Russie,Cuir de cheval (doublure),,,
Cherevichkiotvichki,,,Pieds de lampe,Plateaux rectangulaires,,Finlande,Cuir de chèvre,,,
Chloé,,,Cabinets & Commodes,Tréteaux,,France,Cuir de chèvre (doublure),,,
Christopher Nemeth,,,Assises,Cabinets,,Gabon,Cuir de chevreau,,,
Cledran,,,Bibliothèques,Buffets,,Gambie,Cuir de crocodile,,,
Comme Des Garçons,,,Paravents,Commodes,,Georgie,Cuir de kangourou,,,
Comme Des Garçons Homme Plus,,,Tables,Secrétaires & Trumeaux,,Géorgie du Sud-et-les Îles Sandwich du Sud,Cuir de karung,,,
Comme Des Garçons Play,,,Combinaisons & Salopettes,Bancs,,Ghana,Cuir de mouton (doublure),,,
Comme Des Garçons Shirt,,,Jeans,Canapés & Poufs,,Gibraltar,Cuir de requin,,,
Comme Des Garçons Shirt x Asics,,,Manteaux,Chaises & Fauteuils,,Grèce,Cuir de serpent,,,
Coperni,,,,,,,,,,
Cornelian Taurus,,,Pantalons,Tabourets,,Grenade,Cuir de taureau,,,
Cottweiler,,,Shorts,,,Groënland,Cuir de vache,,,
Courrèges,,,,,,,,,,
Craig Green,,,T-shirts & Débardeurs,,,Guadeloupe,Cuir de vachette,,,
Curtis Jeré,,,Vestes,,,Guam (É-U),Cuir de veau,,,
Dalo,,,Vêtements d'intérieur,,,Guatemala,Cuir de veau (doublure),,,
Deepti,,,Derbies & Richelieu,,,Guernesey,Cuir de veau (semelles),,,
Del Carlo,,,Espadrilles,,,Guinée,Cuir de veau sans chrome,,,
Delada,,,Mocassins,,,Guinée Bissau,Cuir de yack,,,
Di Liborio,,,Bagages & Sacs de voyage,,,Guinée Équatoriale,Cuir nappa,,,
Diamondogs,,,Chapeaux,,,Guyane,Cuir synthétique,,,
Diesel Red Tag,,,Cravates & Noeuds papillon,,,Guyane Française,Cuivre,,,
Dita,,,Écharpes,,,Haïti,Cupro,,,
Dom Rebel,,,Gants,,,Honduras,Cupro (doublure),,,
Donald Drumm,,,Lunettes,,,Hong-Kong,Cupro (empiècement),,,
Dovetusai,,,Porte-clés,,,Hongrie,Daim,,,
Dr. Martens x Undercover,,,Masques,,,Île Bouvet,Diamants,,,
Dries Van Noten,,,,,,Île Christmas,Diamants falamank,,,
DRKSHDW,,,,,,Île de Man,Diamants Icy,,,
Drome,,,,,,Île Maurice,Diamants noirs,,,
Edhen,,,,,,Île Norfolk,Duvet (rembourrage),,,
Editamateria,,,,,,Îles Caïmans,Duvet d'oie (rembourrage),,,
Edward Crutchley,,,,,,Îles Cocos (Keeling),Duvet de canard (rembourrage),,,
Eligo,,,,,,Îles Cook,Élasthanne,,,
Elina Linardaki,,,,,,Îles Féroé,Élasthanne (doublure),,,
Ellery,,,,,,Îles Fidji,Élastique,,,
En Shalla,,,,,,Îles Heard et McDonald,Elastodiène,,,
Englander & Bonta,,,,,,Îles Malouines,Élastomère,,,
Erdem,,,,,,Îles Mariannes du Nord,Elastomultiester,,,
ESDE,,,,,,Îles Marshall,Elite,,,
Facetasm,,,,,,Îles mineures éloignées des États-Unis,Elite (doublure),,,
Factory900,,,,,,Îles Pitcairn,Émaille,,,
Faith Connexion,,,,,,Îles Salomon,Encens,,,
Faliero Sarti,,,,,,Îles Turques et Caïques,Étain,,,
Fanga,,,,,,Îles Vierges (Britaniques),EVA (semelles),,,
FDMTL,,,,,,Îles Vierges (USA),Fausse fourrure,,,
Federico Curradi,,,,,,Inde,Fer,,,
Fendi,,,,,,Indonésie,Feutre de castor,,,
Fob Paris,,,,,,Irak,Feutre de lapin,,,
Forcerepublik,,,,,,Iran,Fibre,,,
Fornasetti,,,,,,Irlande,Fibre de verre,,,
Fornasetti Vintage,,,,,,Islande,Fibre métallique,,,
François Thevenin,,,,,,Israël,Fil d'acier,,,
Frei Mut,,,,,,Italie,Fil de cuivre,,,
Frenckenberger,,,,,,Jamaïque,Fil métallique,,,
Fumito Ganryu,,,,,,Japon,Flax,,,
Gabriele Pasini,,,,,,Jordanie,Fluorofibre,,,
Gabriela Hearst,,,,,,,,,,
Ganryu x Salomon,,,,,,Kazakhstan,Fourrure,,,
Gatti,,,,,,Kenya,Fourrure d'agneau,,,
Geoffrey B. Small,,,,,,Kiribati,Fourrure d'agneau (doublure),,,
Geoffrey Parker,,,,,,Koweït,Fourrure d'orylag,,,
Ghidini 1961,,,,,,Laos,Fourrure de castor,,,
Gilles Caffier,,,,,,Le Belize,Fourrure de chèvre,,,
Giorgio Brato,,,,,,Lesotho,Fourrure de coyote,,,
Glas Italia,,,,,,Lettonie,Fourrure de kalgan,,,
Goti di Goti,,,,,,Liban,Fourrure de kidassia,,,
Greedilous,,,,,,Liberia,Fourrure de lapin,,,
Greg Lauren,,,,,,Libye,Fourrure de lapin (doublure),,,
Griffe Montenapoleone by Vetrerie di Empoli,,,,,,Liechtenstein,Fourrure de mouton,,,
Gucci,,,,,,Lituanie,Laine cachemire,,,
Guidi,,,,,,Londres,Plastique,,,
Haider Ackermann,,,,,,Luxembourg,Plexiglas,,,
Hed Mayner,,,,,,Macao,,,,
Herno,,,,,,Macédoine,Fourrure de poney,,,
Horisaki,,,,,,Madagascar,Fourrure de ragondin,,,
Hugh Findletar,,,,,,Malaisie,Fourrure de raton laveur,,,
Hyein Seo,,,,,,Malawi,Fourrure de renard,,,
IH NOM UH NIT,,,,,,Maldives,Fourrure de renard doré,,,
Iiuvo,,,,,,Mali,Fourrure de rex,,,
Ilaria Nistri,,,,,,Malte,Fourrure de swakara,,,
Individual Sentiments,,,,,,Maroc,Fourrure de vison,,,
Isaac Sellam,,,,,,Martinique (Française),Fujiflex,,,
Issey Miyake Eyewear,,,,,,Mauritanie,Glycérine,,,
Issey Miyake,,,,,,Mayotte,Gomme (semelles),,,
J.W Anderson,,,,,,Mexique,Grenat,,,
Jacques Marie Mage,,,,,,Micronésie,Grès,,,
Jil Sander,,,,,,Moldavie,Grille métallique,,,
John,,,,,,Monaco,Gypse,,,
John Burdick,,,,,,Mongolie,Hématite,,,
John Alexander Skelton,,,,,,Monténégro,Huile,,,
John-Paul Philippe,,,,,,Montserrat,Huile de silicone,,,
Jordanluca,,,,,,Mozambique,Ikat,,,
Julius,,,,,,Namibie,Inox,,,
Junya Watanabe,,,,,,Nauru,,,,
Juun.J,,,,,,Népal,Jeune alpaga,,,
Kame Man Nen,,,,,,Nicaragua,Jeune alpaga royal,,,
Kanghyuk,,,,,,Niger,Jute,,,
Kanghyuk x Reebok,,,,,,Nigéria,Kid Mohair,,,
Knit Brary,,,,,,Niué,Laine,,,
Koché,,,,,,Norvège,Laine d'agneau,,,
Ksubi ,,,,,,,,,,
Ksubi x Hidji World,,,,,,Nouvelle Calédonie (Française),Laine d'alpaga,,,
Kuboraum,,,,,,Nouvelle-Zélande,Laine de chameau,,,
Kuro,,,,,,Oman,Laine (doublure),,,
Label Under Construction,,,,,,Ouganda,Laine (empiècement),,,
Lamberto Losani,,,,,,Ouzbékistan,Laine mérinos,,,
Lanvin,,,,,,Pakistan,Laine polaire,,,
Laura B,,,,,,Palau,Laine shetland,,,
Layer-0,,,,,,Panama,Laine vierge,,,
Le Kasha,,,,,,Papouasie-Nouvelle-Guinée,Laine vierge,,,
Leclaireur,,,,,,Paraguay,Laine vierge (doublure),,,
Leon Emanuel Blanck,,,,,,Pays-Bas,Laine de yack,,,
Litkovskaya,,,,,,Pérou,Laiton,,,
Loha Vete,,,,,,Philippines,Laiton argenté,,,
Loverboy,,,,,,Pologne,Laiton plaqué or,,,
Lukhanyo Mdingi,,,,,,,,,,
M.A+,,,,,,Polynésie (Française),Lama,,,
Mad et Len,,,,,,Porto Rico,Lapin,,,
Made on Grand,,,,,,Portugal,Liège,,,
Madoda Fani,,,,,,Principauté d'Andorre,Lin,,,
Maison Margiela x Reebok,,,,,,Qatar,Lin (doublure),,,
Maison Rabih Kayrouz,,,,,,République Centre-Africaine,Lolite,,,
Maison Ullens,,,,,,République démocratique du Congo,,,,
Maison Margiela,,,,,,République Dominicaine,Lucite,,,
Maison Mihara Yasuhiro,,,,,,République Kirghize (Kirghizistan),Lurex métallique,,,
Maison Ravn,,,,,,République tchèque,Lycra,,,
Marc Le Bihan,,,,,,Réunion (Française),Lycra (doublure),,,
Marc Jacques Burton,,,,,,Roumanie,Lyocell,,,
Marchand Drapier,,,,,,Royaume-Uni,Maille,,,
Marine Serre,,,,,,Rwanda,Marbre,,,
Mario Bellini,,,,,,Sahara Occidental,Marcassite,,,
Marsèll,,,,,,Saint Barthélémy,Mercure,,,
Masnada,,,,,,Saint Christophe et Niévès,Métal,,,
Master & Dynamic,,,,,,Saint Pierre et Miquelon,Micro cellulaire (semelles),,,
Mastercraft Union,,,,,,Saint Vincent & Grenadines,Micro (semelles),,,
Mathieu Miljavac,,,,,,Saint-Martin (partie française),Micromodal,,,
Matias Denim,,,,,,Saint-Martin (partie néerlandaise),Modacrylique (doublure),,,
Matsuda,,,,,,Saint-Siège (État du Vatican),Modacrylique,,,
Mattew Miller,,,,,,Sainte Hélène,Modal,,,
Matthew Miller,,,,,,Sainte-Lucie,Modal (doublure),,,
Melitta Baumeister,,,,,,Salvador,Mohair,,,
Miaoran,,,,,,Samoa,Mohair (empiècement),,,
Miharayasuhiro,,,,,,Samoa américaines,Mousse,,,
Moncler,,,,,,San-Marin,Mouton,,,
Moncler Genius Craig Green,,,,,,Sao Tomé et Principe,Mouton (doublure),,,
Moncler Genius,,,,,,Sénégal,Nacre,,,
Moncler x Rick Owens,,,,,,Serbie,Néoprène,,,
Monse,,,,,,Seychelles,Nickel,,,
Moohong,,,,,,Sierra Leone,Nylon,,,
Mr&Mrs,,,,,,Singapour,Nylon (doublure),,,
Mr&Mrs Italy,,,,,,Slovaquie,Nylon (empiècement),,,
Muñoz Vrandecic,,,,,,Slovénie,Onyx,,,
Myar,,,,,,Somalie,Opossum,,,
Mylinh Nguyen,,,,,,Soudan,Or,,,
Myths,,,,,,Sri Lanka,Or blanc,,,
Nanushka,,,,,,Sud Soudan,Or rose,,,
Natasha Zinko,,,,,,Suède,Paille,,,
Neil Barrett,,,,,,Suisse,Paille de sisal,,,
Nigel Cabourn,,,,,,Suriname,Palladium,,,
Nike x Comme Des Garçons,,,,,,Svalbard et îles Jan Mayen,Papier,,,
Noir Kei Ninomiya,,,,,,Swaziland,Papier japonais,,,
Numero 10,,,,,,Syrie,Patine de bronze,,,
Nymphenburg,,,,,,Tadjikistan,Plastique recyclé (APET),,,
Off-White,,,,,,Taïwan,Peau d'agneau,,,
Officine Creative,,,,,,Tanzanie,Peau de cerf,,,
Olympia Le Tan,,,,,,Tchad,Peau de chèvre,,,
Orolog,,,,,,Terres Australes Françaises,Peau de chèvre (doublure),,,
Orylag,,,,,,Territoire britannique de l'océan Indien,Peau de chamois,,,
Oscar de la Renta,,,,,,"Territoire palestinien, occupé",Peau de lapin,,,
Osvaldo Borsani,,,,,,Thaïlande,Peau de lézard,,,
Paco Rabanne,,,,,,,,,,
Paul Harnden,,,,,,Timor Oriental,Peau de mouton,,,
Paul Evans,,,,,,Togo,Peau retournée (agneau),,,
Per Götesson,,,,,,Tokelau,Peau retournée (mouton),,,
Péro,,,,,,Tonga,Peau de serpent,,,
Peter Do,,,,,,,,,,
Peter Pilotto,,,,,,Trinité et Tobago,Peau de vache,,,
Peter Non,,,,,,Tunisie,Peau de vache (doublure),,,
Petrosolaum,,,,,,Turkménistan,Peau de veau,,,
Phaedo,,,,,,Turquie,Peau de veau (doublure),,,
Philip & Kevin Laverne,,,,,,Tuvalu,Perles,,,
Philippe Hiquily,,,,,,Ukraine,Perles de verre,,,
Pierre Bonnefille,,,,,,Uruguay,Phylon (semelles),,,
Pierre-Louis Mascia,,,,,,USA,Pierre,,,
Piet Hein Eek,,,,,,Vanuatu,Pierre de lave,,,
PLAY Comme des Garçons,,,,,,Venezuela,Plaqué or et laiton doré,,,
Poiret,,,,,,Vietnam,Plastique (perles),,,
Ports 1961,,,,,,Wallis et Futuna,Platine,,,
Preciously,,,,,,Yémen,Galuchat,,,
Preen by Thornton Bregazzi,,,,,,Yougoslavie,Plumes de canard (rembourrage),,,
Premiata,,,,,,Zaïre,Plumes,,,
Printed Artworks,,,,,,Zambie,Plumes de dindon,,,
Private 02 04,,,,,,Zimbabwe,Plumes d'oie (rembourrage),,,
Projekt Produkt,,,,,,Zone neutre,Plumes de pintade,,,
Quetsche,,,,,,,Plumes (rembourrage),,,
R13,,,,,,,Poil de chameau (rembourrage),,,
Raparo,,,,,,,Polyacrylique,,,
Reilly Fakenews,,,,,,,Polyamide,,,
Renli su,,,,,,,Polyamide (empiècement),,,
Richard Quinn,,,,,,,Polyamide (doublure),,,
Rick Owens,,,,,,,Polycarbonate,,,
Rigards,,,,,,,Polychlorure de vinyle,,,
Roberto Collina,,,,,,,Polyester,,,
Rocking H,,,,,,,Polyester (doublure),,,
Rokh,,,,,,,Polyester (empiècement),,,
Rosa Maria,,,,,,,Polyester (rembourrage),,,
Rosantica,,,,,,,Polyéthylène,,,
Sacai,,,,,,,Polyéthylène (doublure),,,
Sagittaire A,,,,,,,Polyéthylène (rembourrage),,,
Saint Laurent,,,,,,,Polymetal,,,
San Lorenzo,,,,,,,Polypropylène,,,
Sara Lanzi,,,,,,,Polystyrène,,,
Sawaya & Moroni,,,,,,,Polyuréthane,,,
Scunzani Ivo,,,,,,,Polyuréthane (doublure),,,
Sener Besim,,,,,,,Polyurethane thermoplastique,,,
Shiro Sakai,,,,,,,Porcelaine,,,
Side Slope,,,,,,,Poudre de bronze,,,
Sies Marjan,,,,,,,Poulain,,,
Silvano Sassetti,,,,,,,Prasiolite,,,
Simeon Farrar,,,,,,,PVC,,,
Simone Rocha,,,,,,,Pyrite,,,
Sofie d'Hoore,,,,,,,Python,,,
Song for the Mute,,,,,,,Quartz,,,
Sprookjes,,,,,,,Quartz fumé,,,
Stella McCartney,,,,,,,Ramie,,,
Stuart Weitzman,,,,,,,Ramie (doublure),,,
Suzusan,,,,,,,Raphia,,,
Tacet,,,,,,,Rat musqué,,,
Taichimurakami,,,,,,,Raton Laveur,,,
Takahiromiyashit Thesoloist.,,,,,,,Rayonne,,,
Texas Robot,,,,,,,Rayonne (doublure),,,
The Elder Statesman,,,,,,,Renard,,,
The Row,,,,,,,Renard argenté,,,
The Last Conspiracy,,,,,,,Renard roux,,,
Therabody,,,,,,,Résine,,,
Thierry Colson,,,,,,,Résine de nylon,,,
Thom Browne,,,,,,,Résine polyuréthane,,,
Thomas Eyck,,,,,,,Rhodochrosite,,,
Tibaeg,,,,,,,Roche,,,
Timothy Richards,,,,,,,Roseau,,,
Tobias Wistisen,,,,,,,Rotin,,,
Tokujin Yoshioka,,,,,,,Ruban à gros grain,,,
Toogood,,,,,,,Rubis,,,
True Tribe,,,,,,,Saphir,,,
U-Boat,,,,,,,Satin,,,
Ugo Cacciatori,,,,,,,Serpent ayers,,,
Uma Wang,,,,,,,Shearling,,,
Un Solo Mundo,,,,,,,Silicone,,,
Undercover,,,,,,,Silicone (semelles),,,
Unknown,,,,,,,Soie,,,
Utzon,,,,,,,Silk (empiècement),,,
Valentino,,,,,,,Soie de mûrier,,,
Vava Eyewear,,,,,,,Soie (doublure),,,
VBH,,,,,,,Soie grège,,,
Vera Wang,,,,,,,Spandex,,,
Vincenzo De Cotiis,,,,,,,Spandex (doublure),,,
Wales Bonner,,,,,,,Spandex/Élasthanne,,,
Warm Me,,,,,,,Strass,,,
Warren Platner,,,,,,,Taffetas acétate (doublure),,,
Werkstatt:München,,,,,,,Technique mixe,,,
White,,,,,,,Teck,,,
Wnderkammer,,,,,,,Tencel,,,
Wons Mous,,,,,,,Terre cuite,,,
Xiao Li,,,,,,,TEX/SYN,,,
Y/Project,,,,,,,Tissu,,,
Y/Project x Canada Goose,,,,,,,Tissu,,,
Yang Li,,,,,,,Tissu (doublure),,,
Yatay,,,,,,,Tissu synthétique,,,
Yeezy,,,,,,,Titane,,,
Yesey,,,,,,,Toile,,,
Yohji Yamamoto x Vessel,,,,,,,Topaze,,,
Yohji Yamamoto,,,,,,,TPU,,,
Youser,,,,,,,Triacétate,,,
Youth of Paris,,,,,,,Veau pleine fleur (garniture),,,
Ziggy Chen,,,,,,,Veau velours,,,
Zimmermann,,,,,,,Velours,,,
Zoobeetle x JDL,,,,,,,Ventile,,,
Pia Manu,,,,,,,Verre,,,
Pierre Giraudon,,,,,,,Verre recyclé,,,
Pierre Louis Mascia,,,,,,,Viscose,,,
Pushbutton,,,,,,,Viscose (doublure),,,
Rajesh Pratap Singh,,,,,,,Vison,,,
Ray Howlett,,,,,,,Mink (doublure),,,
René Buthaud,,,,,,,Vitrail,,,
Rochas,,,,,,,Washi,,,
Rocio,,,,,,,Zinc,,,
Roggykei,,,,,,,Polytétrafluoroéthylène,,,
Rombaut,,,,,,,Coton Organique,,,
Rossi et Arcandi,,,,,,,Polyuréthane Bio,,,
Rubber Soul,,,,,,,Vacelites,,,
Segno Italiano,,,,,,,Ethyléne-acétate de vinyle,,,
Serge Thoraval,,,,,,,Fibre de carbone,,,
Shiro Sakai x Leclaireur,,,,,,,Cuir de mouton,,,
Song for the Mute x Leclaireur,,,,,,,Soie Tussah,,,
Sophie Dries,,,,,,,polyvinyle,,,
Stouls,,,,,,,Plumes d'autruche,,,
Studio Tangent,,,,,,,Cuir de veau (accessoires),,,
Studio Wieki Somers For Thomas Eyck,,,,,,,Plumes de Faisans,,,
Suketdhir,,,,,,,Chanvre (doublure),,,
Suprema,,,,,,,Agneau (garniture),,,
Sylvia Toledano,,,,,,,acrylique (empiècement),,,
TAKAHIROMIYASHITATheSoloist.,,,,,,,Cuir verni,,,
Teatum Jones,,,,,,,Caoutchouc (semelle),,,
Tecknomonster,,,,,,,Laine mohair,,,
The Shepherd UNDERCOVER,,,,,,,polyester métalisé,,,
The Viridi-Anne,,,,,,,Polyamide (bordure),,,
Thierry Lemaire,,,,,,,Viscose (bordure),,,
Tichelaar,,,,,,,Rayonne (empiècement),,,
Timothy Richard,,,,,,,Tencel (empiècement),,,
Tomoyuki Iwanami,,,,,,,Soie (empiècements),,,
Tuinch,,,,,,,Viscose (empiècement),,,
Tumi,,,,,,,Magnésium,,,
Vans x FDMTL,,,,,,,Sucre,,,
Vicenzo de Cotiis,,,,,,,Eau de Chevreuse,,,
Vintage,,,,,,,Lotus,,,
Vittorio Introini,,,,,,,Nepeta,,,
Voodoo,,,,,,,Coquelicot,,,
Werkstatt:Munchen,,,,,,,Mélisse,,,
Wild and Woolly,,,,,,,Jus de Citron,,,
Yataï,,,,,,,Glycérine végétale,,,
Yates,,,,,,,CBD 500mg,,,
Zaha Hadid,,,,,,,Huile d’Olive de Tanche ,,,
Zanieri,,,,,,,CBD,,,
Zuhair Murad,,,,,,,CBD 100mg,,,
Dr. Martens x Rick Owens,,,,,,,Miel,,,
Hakusan,,,,,,,Propylène glycol (PG),,,
Agnona,,,,,,,Glycérine végétale (VG,,,
DRKSHDW x CONVERSE,,,,,,,CBD (cannabidiol),,,
Ann Demeulemeester-Serax,,,,,,,Terpènes,,,
,,,,,,,Mangue,,,
,,,,,,,Passion,,,
,,,,,,,Vanille,,,
,,,,,,,Sucre de canne,,,
,,,,,,,Citron,,,
,,,,,,,Pectine d’agrumes,,,
,,,,,,,Miel d’acacia français,,,
,,,,,,,Miel de fleurs français,,,
,,,,,,,Riz soufflé,,,
,,,,,,,Orange,,,
